Site: CHATS7  Year: 2007  Month: 5
6: pftconMod ... using non-default values
6: Attempting to initialize MLpftcon .....
6: MLpftcon ... using non-default values
6: Successfuly initialized MLpftcon
6: pftconMod ... using non-default values
6: Attempting to initialize MLpftcon .....
6: MLpftcon ... using non-default values
6: Successfuly initialized MLpftcon
Attempting to read RSL look-up table .....
Successfully read RSL look-up table
Initialization complete.
Output files opened in: /private/tmp/claude-501/-Users-yueqichen/3332d836-b3d4-4efe-a522-ff503684aa5d/scratchpad/authors-out-31day
Starting time loop: ntimes=1488, dtstep=1800s, progress every 1 step(s)
/Users/yueqichen/agent/cesm/authors-clm-ml-jax/.venv/lib/python3.13/site-packages/jax/_src/ops/scatter.py:105: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float64 to dtype=float32 with jax_numpy_dtype_promotion=standard. In future JAX releases this will result in an error.
  warnings.warn(
Attempting to initialize multilayer canopy pad parameters .....
Successfuly initialized multilayer canopy pad parameters
Attempting to initialize multilayer canopy vertical structure .....
Successfully initialized multilayer canopy vertical structure
MLCanopyFluxes: starting ML sub-steps (num_ml_steps=6, nrk_steps=4, num_mlcan=1)
MLCanopyFluxes: sub-step 1/6
MLCanopyFluxes: sub-step 2/6
MLCanopyFluxes: sub-step 3/6
MLCanopyFluxes: sub-step 4/6
MLCanopyFluxes: sub-step 5/6
MLCanopyFluxes: sub-step 6/6
  timestep 42/1488 | step=3.02s (met=0.01s, adv=2.98s, out=0.04s) | elapsed=135.1s | eta=4649.8s
  timestep 43/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=138.1s | eta=4639.5s
  timestep 44/1488 | step=3.02s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=141.1s | eta=4630.1s
  timestep 45/1488 | step=3.01s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=144.1s | eta=4620.6s
  timestep 46/1488 | step=3.01s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=147.1s | eta=4611.3s
  timestep 47/1488 | step=2.98s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=150.1s | eta=4601.5s
  timestep 48/1488 | step=3.01s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=153.1s | eta=4592.8s
  timestep 49/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=156.1s | eta=4583.9s
  timestep 50/1488 | step=2.99s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=159.1s | eta=4575.2s
  timestep 51/1488 | step=2.99s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=162.1s | eta=4566.6s
  timestep 52/1488 | step=2.99s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=165.1s | eta=4558.3s
  timestep 53/1488 | step=2.99s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=168.1s | eta=4550.2s
  timestep 54/1488 | step=2.97s (met=0.01s, adv=2.93s, out=0.04s) | elapsed=171.0s | eta=4541.8s
  timestep 55/1488 | step=2.95s (met=0.01s, adv=2.90s, out=0.04s) | elapsed=174.0s | eta=4532.9s
  timestep 56/1488 | step=2.96s (met=0.01s, adv=2.91s, out=0.04s) | elapsed=176.9s | eta=4524.5s
  timestep 57/1488 | step=2.94s (met=0.01s, adv=2.89s, out=0.04s) | elapsed=179.9s | eta=4515.8s
  timestep 58/1488 | step=2.93s (met=0.01s, adv=2.88s, out=0.04s) | elapsed=182.8s | eta=4507.0s
  timestep 59/1488 | step=3.07s (met=0.01s, adv=3.02s, out=0.04s) | elapsed=185.9s | eta=4501.9s
  timestep 60/1488 | step=3.16s (met=0.01s, adv=3.11s, out=0.04s) | elapsed=189.0s | eta=4498.9s
  timestep 61/1488 | step=3.43s (met=0.01s, adv=3.38s, out=0.05s) | elapsed=192.5s | eta=4502.4s
  timestep 62/1488 | step=3.30s (met=0.01s, adv=3.25s, out=0.04s) | elapsed=195.8s | eta=4502.7s
  timestep 63/1488 | step=3.19s (met=0.01s, adv=3.14s, out=0.04s) | elapsed=199.0s | eta=4500.2s
  timestep 64/1488 | step=3.18s (met=0.01s, adv=3.13s, out=0.04s) | elapsed=202.1s | eta=4497.5s
  timestep 65/1488 | step=3.18s (met=0.01s, adv=3.13s, out=0.04s) | elapsed=205.3s | eta=4494.8s
  timestep 66/1488 | step=3.19s (met=0.01s, adv=3.14s, out=0.04s) | elapsed=208.5s | eta=4492.3s
  timestep 67/1488 | step=3.12s (met=0.01s, adv=3.07s, out=0.04s) | elapsed=211.6s | eta=4488.4s
  timestep 68/1488 | step=3.10s (met=0.01s, adv=3.05s, out=0.04s) | elapsed=214.7s | eta=4483.9s
  timestep 69/1488 | step=3.09s (met=0.01s, adv=3.05s, out=0.04s) | elapsed=217.8s | eta=4479.5s
  timestep 70/1488 | step=3.22s (met=0.01s, adv=3.16s, out=0.05s) | elapsed=221.0s | eta=4477.5s
  timestep 71/1488 | step=3.08s (met=0.01s, adv=3.03s, out=0.04s) | elapsed=224.1s | eta=4472.8s
  timestep 72/1488 | step=3.03s (met=0.01s, adv=2.98s, out=0.04s) | elapsed=227.1s | eta=4467.2s
  timestep 73/1488 | step=3.03s (met=0.01s, adv=2.98s, out=0.04s) | elapsed=230.2s | eta=4461.6s
  timestep 74/1488 | step=3.04s (met=0.01s, adv=2.99s, out=0.04s) | elapsed=233.2s | eta=4456.3s
  timestep 75/1488 | step=3.03s (met=0.01s, adv=2.98s, out=0.04s) | elapsed=236.2s | eta=4450.8s
  timestep 76/1488 | step=3.02s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=239.3s | eta=4445.1s
  timestep 77/1488 | step=3.02s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=242.3s | eta=4439.7s
  timestep 78/1488 | step=3.02s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=245.3s | eta=4434.2s
  timestep 79/1488 | step=3.02s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=248.3s | eta=4428.8s
  timestep 80/1488 | step=3.01s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=251.3s | eta=4423.4s
  timestep 81/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=254.3s | eta=4417.8s
  timestep 82/1488 | step=3.01s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=257.3s | eta=4412.5s
  timestep 83/1488 | step=2.99s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=260.3s | eta=4406.9s
  timestep 84/1488 | step=2.98s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=263.3s | eta=4401.2s
  timestep 85/1488 | step=3.12s (met=0.01s, adv=3.07s, out=0.04s) | elapsed=266.4s | eta=4397.8s
  timestep 86/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=269.4s | eta=4392.5s
  timestep 87/1488 | step=3.02s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=272.5s | eta=4387.6s
  timestep 88/1488 | step=3.02s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=275.5s | eta=4382.7s
  timestep 89/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=278.5s | eta=4377.5s
  timestep 90/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=281.5s | eta=4372.4s
  timestep 91/1488 | step=3.01s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=284.5s | eta=4367.5s
  timestep 92/1488 | step=3.04s (met=0.01s, adv=2.99s, out=0.04s) | elapsed=287.5s | eta=4363.0s
  timestep 93/1488 | step=3.10s (met=0.01s, adv=3.05s, out=0.04s) | elapsed=290.6s | eta=4359.5s
  timestep 94/1488 | step=3.11s (met=0.01s, adv=3.06s, out=0.04s) | elapsed=293.7s | eta=4356.1s
  timestep 95/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=296.7s | eta=4351.1s
  timestep 96/1488 | step=3.01s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=299.8s | eta=4346.4s
  timestep 97/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=302.8s | eta=4341.5s
  timestep 98/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=305.7s | eta=4336.6s
  timestep 99/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=308.8s | eta=4331.9s
  timestep 100/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=311.8s | eta=4327.1s
  timestep 101/1488 | step=2.98s (met=0.01s, adv=2.93s, out=0.04s) | elapsed=314.7s | eta=4322.1s
  timestep 102/1488 | step=3.06s (met=0.01s, adv=3.01s, out=0.04s) | elapsed=317.8s | eta=4318.3s
  timestep 103/1488 | step=3.13s (met=0.01s, adv=3.08s, out=0.04s) | elapsed=320.9s | eta=4315.4s
  timestep 104/1488 | step=2.99s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=323.9s | eta=4310.5s
  timestep 105/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=326.9s | eta=4306.0s
  timestep 106/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=329.9s | eta=4301.4s
  timestep 107/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=332.9s | eta=4296.9s
  timestep 108/1488 | step=3.10s (met=0.01s, adv=3.05s, out=0.04s) | elapsed=336.0s | eta=4293.6s
  timestep 109/1488 | step=3.14s (met=0.01s, adv=3.10s, out=0.04s) | elapsed=339.2s | eta=4290.9s
  timestep 110/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=342.2s | eta=4286.4s
  timestep 111/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=345.2s | eta=4281.9s
  timestep 112/1488 | step=3.01s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=348.2s | eta=4277.7s
  timestep 113/1488 | step=3.02s (met=0.01s, adv=2.98s, out=0.04s) | elapsed=351.2s | eta=4273.5s
  timestep 114/1488 | step=2.99s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=354.2s | eta=4269.1s
  timestep 115/1488 | step=3.01s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=357.2s | eta=4264.8s
  timestep 116/1488 | step=3.01s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=360.2s | eta=4260.6s
  timestep 117/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=363.2s | eta=4256.2s
  timestep 118/1488 | step=3.01s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=366.2s | eta=4252.0s
  timestep 119/1488 | step=2.99s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=369.2s | eta=4247.6s
  timestep 120/1488 | step=3.01s (met=0.01s, adv=2.97s, out=0.04s) | elapsed=372.2s | eta=4243.4s
  timestep 121/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=375.2s | eta=4239.2s
  timestep 122/1488 | step=2.99s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=378.2s | eta=4234.9s
  timestep 123/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=381.2s | eta=4230.6s
  timestep 124/1488 | step=2.98s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=384.2s | eta=4226.2s
  timestep 125/1488 | step=3.00s (met=0.01s, adv=2.95s, out=0.04s) | elapsed=387.2s | eta=4222.0s
  timestep 126/1488 | step=2.99s (met=0.01s, adv=2.94s, out=0.04s) | elapsed=390.2s | eta=4217.8s
  timestep 127/1488 | step=3.00s (met=0.01s, adv=2.96s, out=0.04s) | elapsed=393.2s | eta=4213.7s
  timestep 128/1488 | step=3.06s (met=0.01s, adv=3.01s, out=0.04s) | elapsed=396.3s | eta=4210.2s
  timestep 129/1488 | step=3.11s (met=0.01s, adv=3.06s, out=0.04s) | elapsed=399.4s | eta=4207.3s
  timestep 130/1488 | step=3.24s (met=0.01s, adv=3.19s, out=0.04s) | elapsed=402.6s | eta=4205.7s
